,logFC,logCPM,F,PValue,FDR
TGOLN2,-0.713955056930156,7.1942244254296,57.2847029536056,1.00833267993633e-07,6.37557300757862e-07
RASGEF1B,-2.07909279760007,2.90346094337269,57.2824358508621,1.00866832744068e-07,6.37557300757862e-07
TCP11L1,-1.41773087936561,5.11670148758003,57.2740185455232,1.00991558270262e-07,6.38033666765109e-07
SERPINF2,2.52958197019027,0.980472638811785,57.2292750639584,1.01657374499244e-07,6.41926342343543e-07
IP6K1,-0.645186911648972,6.49371908294008,57.2188255550864,1.01813556854574e-07,6.42598650342881e-07
JAZF1,-1.54541136155274,4.29187498937341,57.2003144611543,1.02090871009443e-07,6.44034455182068e-07
INTS10,0.569350346097205,5.92777382843653,57.1775032596153,1.02433734084401e-07,6.45882169158524e-07
PARP11,-1.07787638220725,4.33780754276213,57.1734615010591,1.02494613963011e-07,6.45950941046259e-07
TAFA4,5.48963648637537,2.81680151711059,59.1713813736413,1.02940594241315e-07,6.48445478149725e-07
VIPAS39,-0.647531965890073,5.41016074040179,57.1343901421246,1.03085165672916e-07,6.49039869209994e-07
PRKAG2,-1.13423389188146,4.39702071951056,57.1252085891984,1.03224477770916e-07,6.49600584063709e-07
KIF5B,-0.617957771511493,8.05606880129071,57.1129456378418,1.03410863153208e-07,6.50456845313075e-07
RBM8A,-1.08049126161519,5.32628594491242,57.1019254904038,1.03578671000893e-07,6.50942937633628e-07
TAC1,3.23403718944726,0.920023150124469,57.101256897849,1.03588861419803e-07,6.50942937633628e-07
DNAAF10,0.684044057269166,3.66625963186316,57.0974155108676,1.03647431404652e-07,6.50994508423972e-07
GALNT9,3.66713046810151,-0.391159426185393,57.0607092671799,1.04208912689589e-07,6.5420320807461e-07
MRE11,0.589430893718254,5.64290311355238,57.019057046979,1.04850055772256e-07,6.5790865092824e-07
CTSO,-1.74082282394224,2.96159117092072,56.9036553585974,1.06648898110817e-07,6.68871255206413e-07
IGF2R,-0.978372317455286,6.92447124712564,56.8830563875121,1.0697350000917e-07,6.7058169792363e-07
