,TCF4,GATA4,CTCF,PRDM1,SMAD4,GATA6,FOXA1,NANOG,HNF4A,SOX17,FOXA2,POU5F1,SP1,SOX2,STAT3,KLF5,HNF1B,SRF,OTX2,THAP11,SMAD2,EOMES
DUSP26,0.9419680591071419,0.2027151517929796,0.6052410634769259,0.7839155074231028,0.25562328378542204,-1.0,0.08971962816471536,0.17057095731745708,0.28062910224833243,0.8155522713871115,0.5350856087331177,0.6891285513241213,0.9327028759562923,0.7966608682911047,0.5042307560354731,0.731588249606349,0.33201837840258475,0.5490737756438742,-1.0,0.7872925617409747,0.5743965609323655,0.08367922074748119
SYT16,0.6399590772567993,-1.0,0.6286109322567994,0.0060503914516345245,0.16754075141026106,-1.0,-1.0,0.4994035495090804,0.4737822624586425,0.0013619212147328516,0.0010198041877749443,0.6442498231698411,0.08917758035218026,0.43285740669824035,0.14300631752227363,0.0016102388754327985,0.00024393572433446822,0.2085713301073504,0.009034090239445748,0.36198987977448704,0.006282499300066389,0.48667057813270853
CD163,0.26557066382049793,0.4345315149328399,0.02894276879893538,-1.0,0.0004416958146434208,0.640574693009661,0.021742959064130644,0.683816585898033,0.4974792552048395,0.019661306449648374,0.8619442494985534,0.001560717280675921,0.5646996360887069,0.5548286858382943,0.010557703179370069,0.49138474421729894,0.5716974289185592,0.7066826856573967,0.43589904032507687,0.0009575845831315351,0.5523092781247365,0.0019036928528877908
TNRC18,-1.0,0.03510993099600611,0.22642274746048638,0.5519104646128374,0.006123465676392191,0.053905203290798995,0.6334884321388777,0.0708241286050704,0.8412155621825351,0.045085207451624795,0.5229283162291903,0.3381082771919287,0.2524840833006639,0.6844419852910832,0.9021080117482388,0.9425790799457383,0.010936344007560413,0.09203518980656615,0.2308156650110135,0.9020263430539408,0.7965020975738697,0.04928931089409611
TMEM135,6.824189343092328e-05,0.5622418461702197,0.10385869676298619,0.8289989105087414,0.11298796793769451,0.7203083051506596,0.0014236992826792618,0.1213374265162034,0.0008486590164957741,0.06714947111125996,0.17067639212686234,4.573287503223032e-06,0.6004863449779905,0.9023417154362662,3.0728746928660206e-05,0.00022551486292317978,0.00048682962929277553,0.41148493353766247,6.68711918465863e-06,0.03413609309334667,0.0001752069032306028,0.2363316192189434
ATP4A,0.24310601747133223,0.016714492519435065,0.15392826041477065,0.5762588053111445,0.4212508340267137,0.44860941368585894,0.5716281220083081,0.1876937251632201,0.20005915467116017,0.3515356065280226,0.9458482771106052,0.3229798445952362,0.8760875730667976,0.18187546156036447,0.36271813592876,0.3320273165934692,0.8870967183239207,0.6139657434264305,0.41112246200459457,0.23040944105548314,0.6831410476364916,0.2657000449683963
ANXA3,0.1405506645174077,0.022718123817716592,0.010904988174069612,0.016532150189674907,3.1009736122995e-06,0.9883575707607402,-1.0,0.3970336184680241,0.02258650260291962,0.12833657011217028,0.4439439034699748,0.5113159557821099,0.21049246201143085,0.7830434746780472,0.5216176695042969,0.34847260535901503,0.6141325206707839,0.5567193987950091,0.38392302271439527,6.67162248427916e-05,8.60975583572771e-05,0.00031458481674560916
CRYBG1,0.23776844505821196,0.39549221199259643,0.15245029048550088,0.3315632386980686,0.9606607015135773,0.2660445870929112,0.8033699675133178,0.07840340945290135,0.7753691514656826,0.5815226675787585,0.11229245682668725,0.6171925580274285,0.71035052975046,0.8538139631789999,0.960810968668118,0.3024847611215744,0.5639069148050138,0.07812348632271615,0.6924462189717423,0.750682094571163,0.74045486109329,0.7289570683680762
NPPB,-1.0,-1.0,0.09243488369689128,0.014183969331314179,0.03416112683437521,0.2965949341960587,-1.0,0.3768501902941642,0.34194767938963544,0.13963669943531629,0.39832983317500537,0.33097351747628234,0.23421375189915436,0.29116089240491455,0.00015699710916073975,0.5701371404831355,0.3008948122282545,0.29098267660831645,0.023161457098882086,0.23955345799714028,0.1789086745044994,0.030099016848258556
NECAB2,0.6894185130248254,0.7988387442031469,0.18491578492663752,0.024788422074391483,0.2527972898966705,0.15662988181248197,0.6919598194519843,0.6080146138084908,0.7747684377560554,0.7433406527576332,0.2655220265014973,0.6121492353733191,0.46471174422046957,0.24719865489967502,0.5848552808460048,0.47309387854032914,0.014864938378841988,0.11973267912727917,0.05475937282703437,0.03924399777178102,-1.0,0.43763247603678723
GALNT14,0.004284036507425478,0.014390921260449665,2.6118675362886166e-07,0.33571604255294263,4.479804684291699e-05,-1.0,0.3516108725931135,0.0001950372939860314,0.009078600372561575,0.11725207311339665,0.22593583982703977,0.4582764681911792,-1.0,0.005089594952285468,0.06271984171299308,0.03522116382868766,0.06783015854516569,0.06005125861127834,0.14900631817669002,0.06471086368463042,0.03943751932764567,0.27092065653191266
